element,position,multiplier,is_captain,is_vice_captain
69,1,1,False,False
56,2,1,False,False
122,3,1,False,False
67,4,1,False,False
233,5,1,False,False
240,6,1,False,False
484,7,1,False,False
435,8,1,False,False
529,9,1,False,True
413,10,1,False,False
579,11,2,True,False
54,12,0,False,False
429,13,0,False,False
354,14,0,False,False
185,15,0,False,False
