element,position,multiplier,is_captain,is_vice_captain
69,1,1,False,False
185,2,1,False,False
237,3,1,False,False
275,4,1,False,False
233,5,1,False,False
484,6,1,False,False
277,7,1,False,False
419,8,1,False,True
413,9,2,True,False
78,10,1,False,False
529,11,1,False,False
54,12,0,False,False
115,13,0,False,False
208,14,0,False,False
245,15,0,False,False
