element,position,multiplier,is_captain,is_vice_captain
69,1,1,False,False
67,2,1,False,False
429,3,1,False,False
56,4,1,False,False
233,5,1,False,False
148,6,1,False,False
196,7,1,False,False
482,8,1,False,False
529,9,1,False,True
413,10,2,True,False
579,11,1,False,False
54,12,0,False,False
122,13,0,False,False
354,14,0,False,False
237,15,0,False,False
